"Refs","Value","Footprint","Qty","DNP"
"BUS1","BUSPCI_5V","footprints:BUSPCI","1",""
"C1-C36,C70-C73","100nF","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","40",""
"C37","100pF","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"C38,C67-C69","4,7uF","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4",""
"C39-C41","1uF","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","3",""
"C42","2.2uF","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","1",""
"C43-C45","220nF","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","3",""
"C46,C47","220pF","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"C48","22nF","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"C49,C50,C65,C66","22pF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4",""
"C51,C52,L4","22uF","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","3",""
"C53","330pF","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"C54-C57","4.7uF","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","4",""
"C58-C61","47nF","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4",""
"C62,C63","47uF","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","2",""
"C64","6,8uF","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","1",""
"CV1","5/30pF","footprints:CV3-30PF","1",""
"D1-D4","BAT46","footprints:D_DO-34_SOD68_P7.62mm_Horizontal","4",""
"D6","LED","footprints:LED_D3.0mm","1",""
"J4","DB9FEM","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset15.98mm","1",""
"L1","2,2uH","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","1",""
"L2,L3,L5","22uH","Resistor_SMD:R_1812_4532Metric_Pad1.30x3.40mm_HandSolder","3",""
"L6","470ns","footprints:LRTDK","1",""
"P1-P3,P8","BNC","footprints:subclick","4",""
"P4","CONN_2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
