Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",345.567000,-67.437000,90.000000,bottom
"C4","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",355.981000,-78.105000,0.000000,bottom
"C5","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",346.202000,-97.282000,-90.000000,bottom
"C6","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",345.567000,-73.279000,90.000000,bottom
"C7","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",338.201000,-87.757000,180.000000,bottom
"C8","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",349.123000,-58.039000,180.000000,bottom
"C9","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",333.883000,-64.897000,0.000000,bottom
"C10","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",344.297000,-87.757000,0.000000,bottom
"C11","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",319.278000,-69.977000,90.000000,bottom
"C12","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",345.567000,-80.391000,90.000000,bottom
"C13","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",326.009000,-64.643000,0.000000,bottom
"C14","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",324.231000,-81.915000,90.000000,bottom
"C15","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",325.755000,-87.249000,0.000000,bottom
"C16","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",338.201000,-84.709000,180.000000,bottom
"C17","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",155.194000,-85.344000,90.000000,bottom
"C18","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",157.480000,-74.295000,-90.000000,bottom
"C19","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",140.970000,-73.660000,180.000000,bottom
"C20","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",130.810000,-73.025000,0.000000,bottom
"C21","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",124.714000,-90.805000,0.000000,bottom
"C22","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",127.000000,-104.140000,0.000000,bottom
"C23","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",130.175000,-61.595000,0.000000,bottom
"C24","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",138.049000,-116.840000,0.000000,bottom
"C25","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",146.431000,-114.935000,180.000000,bottom
"C26","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",150.622000,-122.936000,180.000000,bottom
"C27","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",132.334000,-123.190000,0.000000,bottom
"C28","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",150.241000,-135.890000,180.000000,bottom
"C29","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",147.066000,-139.700000,180.000000,bottom
"C30","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",136.779000,-139.700000,0.000000,bottom
"C31","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",132.334000,-136.525000,0.000000,bottom
"C32","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",357.759000,-127.635000,180.000000,bottom
"C33","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",345.313000,-111.760000,0.000000,bottom
"C34","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",343.789000,-117.602000,0.000000,bottom
"C35","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",353.949000,-131.699000,0.000000,bottom
"C36","100nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",313.944000,-120.015000,-90.000000,bottom
"C37","100pF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",318.900000,-120.015000,-90.000000,bottom
"C38","4,7uF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",150.241000,-132.080000,180.000000,bottom
"C42","2.2uF","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",343.916000,-120.396000,0.000000,bottom
"C43","220nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",79.121000,-88.011000,0.000000,bottom
"C44","220nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",74.041000,-85.344000,90.000000,bottom
"C45","220nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",79.121000,-85.471000,0.000000,bottom
"C46","220pF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",80.391000,-114.935000,0.000000,bottom
"C48","22nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",79.121000,-82.931000,0.000000,bottom
"C51","22uF","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",345.440000,-108.585000,0.000000,bottom
"C52","22uF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",310.261000,-117.729000,0.000000,bottom
"C53","330pF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",80.391000,-111.887000,0.000000,bottom
"C54","4.7uF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",78.613000,-66.040000,-90.000000,bottom
"C55","4.7uF","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",75.946000,-100.457000,-90.000000,bottom
"C56","4.7uF","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",125.730000,-85.090000,0.000000,bottom
"C57","4.7uF","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder",148.590000,-61.341000,0.000000,bottom
"C59","47nF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",82.169000,-96.647000,0.000000,bottom
"C62","47uF","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",356.235000,-66.167000,0.000000,bottom
"C64","6,8uF","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",84.201000,-88.519000,-90.000000,bottom
"C65","22pF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",351.409000,-93.091000,0.000000,bottom
"C66","22pF","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",351.409000,-95.885000,0.000000,bottom
